Clasificación_Real,explicación_clasificación_2,clasificación_2
 IB(s)m                                                                                               ,irregular,7
 SAB(rs)c pec                                                                                         ,espiral barrada intermedia,2
 SA(r_s)c                                                                            ,espiral no barrada,0
 SA(s)c sp                                                                                            ,espiral no barrada,0
 SAB0^-                                                                                             ,espiral barrada intermedia,2
 SA(s)bc pec                                                                                          ,espiral no barrada,0
 S0^- sp / E(d)8                                                                                    ,lenticular,5
 S_AB(s)cd                                                                           ,espiral barrada intermedia,2
 SA(rs)c                                                                                              ,espiral no barrada,0
 SA(r_s)bc                                                                           ,espiral no barrada,0
 SAB(s)m                                                                                              ,espiral barrada intermedia,2
 SB(_rs)b                                                                            ,espiral barrada,1
 S_AB(s)c: pec sp                                                                    ,espiral barrada intermedia,2
 SA(rs)c                                                                                              ,espiral no barrada,0
 SAB(rs)c                                                                                             ,espiral barrada intermedia,2
" (R'L)SA(rs,r'l)ab                                                                ",espiral no barrada,0
 S0^- sp                                                                                            ,lenticular,5
 SA(s)c sp                                                                                            ,espiral no barrada,0
 Sc spw                                                                                               ,espiral barra indeterminada,4
 SAB(r_s)c                                                                           ,espiral barrada intermedia,2
 (R')SB(s)dm                                                                                ,espiral barrada,1
 E(b)4-5                                                                                              ,elíptica,6
 SA(s)c                                                                                               ,espiral no barrada,0
 (RL)SA(l)0^+                                                                                       ,espiral no barrada,0
 SA(s)c                                                                                               ,espiral no barrada,0
 Sdm sp                                                                                               ,espiral barra indeterminada,4
 (R)SAB(rl)0^+                                                                                      ,espiral barrada intermedia,2
 SA(l)0^-                                                                                           ,espiral no barrada,0
 (R)S_AB(r'l)0^+                                                         ,espiral barrada intermedia,2
 SB_a(s)c                                                                                           ,espiral barrada peculiar,3
 (R')SB(r)bc pec                                                                            ,espiral barrada,1
 SA0/a sp                                                                                             ,espiral no barrada,0
 SA(r)0/a                                                                                             ,espiral no barrada,0
 SAB_a(s)cd                                                                                         ,espiral barrada peculiar,3
 SB(rs)bc pec                                                                                         ,espiral barrada,1
 SB(_rs)b                                                                            ,espiral barrada,1
 SA_B(s)dm                                                                           ,espiral barrada intermedia,2
 (R')SA(r)b                                                                                 ,espiral no barrada,0
 Sa sp / E6 pec                                                                                       ,espiral barra indeterminada,4
 SB(s)cd                                                                                              ,espiral barrada,1
 SB(rs)ab                                                                                             ,espiral barrada,1
 SA_B(rs)c                                                                           ,espiral barrada intermedia,2
 SA(rs)b                                                                                              ,espiral no barrada,0
 SA_B(rs)bc pec                                                                      ,espiral barrada intermedia,2
 S_AB(s)a                                                                            ,espiral barrada intermedia,2
 SAB(s)bc                                                                                             ,espiral barrada intermedia,2
 E2                                                                                                   ,elíptica,6
 SB(s)d sp / E7                                                                                       ,espiral barrada,1
 (R_1')SAB(_rs)a                                                           ,espiral barrada intermedia,2
 SAB:(s)d sp                                                                                          ,espiral barrada intermedia,2
" SA(s,nb)c pec                                                                                        ",espiral no barrada,0
 (R')S_AB(s)bc                                                             ,espiral barrada intermedia,2
" SB(rs,bl)bc                                                                                          ",espiral barrada,1
 SA(rs)c sp                                                                                           ,espiral no barrada,0
 SAB(s)cd                                                                                             ,espiral barrada intermedia,2
" (R')SA(_rs,bl)b                                                           ",espiral no barrada,0
 SA(s)c                                                                                               ,espiral no barrada,0
 SB(s)cd                                                                                              ,espiral barrada,1
 SAB:(s)cd sp                                                                                         ,espiral barrada intermedia,2
 SA(rs)b pec                                                                                          ,espiral no barrada,0
 (R')SA(r)a                                                                                 ,espiral no barrada,0
 SA(s)dm (cc)                                                                                         ,espiral no barrada,0
" (RL)SAB(r,nb)0^+                                                                                   ",espiral barrada intermedia,2
 (R_2')S_AB(r)b                                                            ,espiral barrada intermedia,2
 SAcd:                                                                                                ,espiral no barrada,0
 SA(rs)bc                                                                                             ,espiral no barrada,0
 SAB(s)c                                                                                              ,espiral barrada intermedia,2
 Sb sp                                                                                                ,espiral barra indeterminada,4
 (R')SB(rs)b pec                                                                            ,espiral barrada,1
 SAB(rs)b                                                                                             ,espiral barrada intermedia,2
 SA(_rs)b                                                                            ,espiral no barrada,0
" SA(s,rl)bc                                                                                           ",espiral no barrada,0
 (R_1')SB(r)a                                                                               ,espiral barrada,1
 S_AB(rs)b                                                                           ,espiral barrada intermedia,2
 (L)SB(bl)0^o                                                                                       ,espiral barrada,1
 SA(s)c                                                                                               ,espiral no barrada,0
 (R_1')SAB:(rs)b sp                                                                         ,espiral barrada intermedia,2
 SA(s)c                                                                                               ,espiral no barrada,0
 E(d)4-5                                                                                              ,elíptica,6
 SA(s)c pec                                                                                           ,espiral no barrada,0
" (R_1')SA_B(p,_rs)ab                                      ",espiral barrada intermedia,2
 Sbc spw                                                                                              ,espiral barra indeterminada,4
" (R_1')SB(p,r_s)b pec                                                      ",espiral barrada,1
 SB(rs)d                                                                                              ,espiral barrada,1
 SAB(rs)m pec                                                                                         ,espiral barrada intermedia,2
 (L)SB(bl)0/a                                                                                         ,espiral barrada,1
 (L)SB_a0^o                                                                                       ,espiral barrada peculiar,3
 S_AB(l)0^o                                                                        ,espiral barrada intermedia,2
 Im pec or ETG + PR?                                                                                  ,irregular,7
 SAB(_rs)b                                                                           ,espiral barrada intermedia,2
 SA(s)bc:                                                                                             ,espiral no barrada,0
" SB(s,l)dm                                                                                            ",espiral barrada,1
 SA_B(rs)c                                                                           ,espiral barrada intermedia,2
 SA(s)c                                                                                               ,espiral no barrada,0
 SA(s)c                                                                                               ,espiral no barrada,0
 SA(rs)b                                                                                              ,espiral no barrada,0
 S0^- sp / E(d)4-5                                                                                  ,lenticular,5
 SAB(rs)b                                                                                             ,espiral barrada intermedia,2
 (R')SB(_rs)a                                                              ,espiral barrada,1
 SA(rs)c                                                                                              ,espiral no barrada,0
 S_AB(s)bc                                                                           ,espiral barrada intermedia,2
 SA(r)0^+                                                                                           ,espiral no barrada,0
 (R')SAB(_rs)a                                                             ,espiral barrada intermedia,2
 SB0^-                                                                                              ,espiral barrada,1
 SB(r_s)cd                                                                           ,espiral barrada,1
 (R')SA0/a                                                                                  ,espiral no barrada,0
 SAB(s)b sp                                                                                           ,espiral barrada intermedia,2
 SA(s)bc                                                                                              ,espiral no barrada,0
 SAa pec                                                                                              ,espiral no barrada,0
 (R_1')SA_B(rs)ab pec                                                      ,espiral barrada intermedia,2
 (R_1')SAB(s)a                                                                              ,espiral barrada intermedia,2
 SAB(rs)b                                                                                             ,espiral barrada intermedia,2
 Sdm sp                                                                                               ,espiral barra indeterminada,4
 SB(rs)d                                                                                              ,espiral barrada,1
 (R_2')SAB_a(rs)ab                                                                        ,espiral barrada peculiar,3
 SA(s)dm                                                                                              ,espiral no barrada,0
 SA(s)c                                                                                               ,espiral no barrada,0
 SA(r_s)bc                                                                           ,espiral no barrada,0
 SAB(rs)bc                                                                                            ,espiral barrada intermedia,2
 Sm sp + inner PD?                                                                                    ,espiral barra indeterminada,4
 SA(rs)b:                                                                                             ,espiral no barrada,0
" SA(rs,l)b                                                                                            ",espiral no barrada,0
 S_AB(rs)ab                                                                          ,espiral barrada intermedia,2
 SA(s)c                                                                                               ,espiral no barrada,0
 SA(s)bc                                                                                              ,espiral no barrada,0
 SA_B(s)d                                                                            ,espiral barrada intermedia,2
 SA(s)cd pec                                                                                          ,espiral no barrada,0
 (R_1')SB(rs)b                                                                              ,espiral barrada,1
 Pec (merger with long tidal tails?)                                                                  ,peculiar,8
 Sd sp                                                                                                ,espiral barra indeterminada,4
 SA(rs)c sp                                                                                           ,espiral no barrada,0
 SA(s)c                                                                                               ,espiral no barrada,0
 SB(rs)ab                                                                                             ,espiral barrada,1
 SB(s)m sp                                                                                            ,espiral barrada,1
 SA(s)a:                                                                                              ,espiral no barrada,0
 SAB(r_s)c pec                                                                       ,espiral barrada intermedia,2
 SA(r)0^+ / E(d)5                                                                                   ,espiral no barrada,0
 SA(r_s)bc                                                                           ,espiral no barrada,0
 E1                                                                                                   ,elíptica,6
 SA(s)cd                                                                                              ,espiral no barrada,0
 SAB(rs)b                                                                                             ,espiral barrada intermedia,2
 SA(s)ab                                                                                              ,espiral no barrada,0
 Sa sp                                                                                                ,espiral barra indeterminada,4
 SAB(s)a:                                                                                             ,espiral barrada intermedia,2
 SB(s:)cd                                                                                             ,espiral barrada,1
 SA(s)bc                                                                                              ,espiral no barrada,0
" SA(r_s,nl)c                                                                         ",espiral no barrada,0
 S0^- sp / E(d)7                                                                                    ,lenticular,5
 SAB(s)d                                                                                              ,espiral barrada intermedia,2
 (R')SA(rs)a:                                                                               ,espiral no barrada,0
 (R')SA(rs)b sp                                                                             ,espiral no barrada,0
 SAB(s)cd                                                                                             ,espiral barrada intermedia,2
 (R')SA(rs)b pec                                                                            ,espiral no barrada,0
 SA(r_s)bc                                                                           ,espiral no barrada,0
 SA(rl)bc                                                                                             ,espiral no barrada,0
 (R')SAB(s)0/a                                                                              ,espiral barrada intermedia,2
 (R'L)SA(s)bc pec                                                                           ,espiral no barrada,0
 SA(rs)b sp                                                                                           ,espiral no barrada,0
 SAB(rs)b                                                                                             ,espiral barrada intermedia,2
" (R')SA(rs,r)b                                                                              ",espiral no barrada,0
 SA(l)0^+ / E(d)5                                                                                   ,espiral no barrada,0
 SA(s)bc                                                                                              ,espiral no barrada,0
 SA(rs)b: sp                                                                                          ,espiral no barrada,0
 SA(s)c                                                                                               ,espiral no barrada,0
" (R_1')SB(_rs,bl)ab                                                        ",espiral barrada,1
 SA(rs)b                                                                                              ,espiral no barrada,0
 (R')E4                                                                                     ,elíptica,6
" (R_2')SA_B_a(s,nb)bc                                                    ",espiral barrada intermedia,2
 SA(rs)c                                                                                              ,espiral no barrada,0
 SAa pec                                                                                              ,espiral no barrada,0
 Sa sp / E(b)2 pec                                                                                    ,espiral barra indeterminada,4
 SB(rs)dm                                                                                             ,espiral barrada,1
 S_AB(s)cd                                                                           ,espiral barrada intermedia,2
 SAc sp                                                                                               ,espiral no barrada,0
 (R)SA(rl)a                                                                                           ,espiral no barrada,0
 (R')SAB(s)0/a                                                                              ,espiral barrada intermedia,2
 Pec (merger)                                                                                         ,peculiar,8
 SAB(s)b sp                                                                                           ,espiral barrada intermedia,2
" (R',R')SB(r)a pec                                                                ",espiral barrada,1
" Im sp / E(b,d)6-7                                                                                    ",irregular,7
 SB(rs)dm                                                                                             ,espiral barrada,1
 SAB(s)dm                                                                                             ,espiral barrada intermedia,2
 SB(s)dm                                                                                              ,espiral barrada,1
 SA(s)bc                                                                                              ,espiral no barrada,0
 E2                                                                                                   ,elíptica,6
 (R')SA(rs)a pec                                                                            ,espiral no barrada,0
 SA_B(rs)cd                                                                          ,espiral barrada intermedia,2
 (R')SA(rs)bc                                                                               ,espiral no barrada,0
 SA(s)b                                                                                               ,espiral no barrada,0
 SA(rl)0^o sp                                                                                       ,espiral no barrada,0
 SA_B(r)bc pec                                                                       ,espiral barrada intermedia,2
" (R_1')SA_B(p,r_s)ab                                      ",espiral barrada intermedia,2
 (R')SA(s)c                                                                                 ,espiral no barrada,0
 SA(rs)c                                                                                              ,espiral no barrada,0
 SAB(s)b                                                                                              ,espiral barrada intermedia,2
 SB(_rs)bc                                                                           ,espiral barrada,1
 SA(s)bc                                                                                              ,espiral no barrada,0
 SAB(s)b                                                                                              ,espiral barrada intermedia,2
 (R')SAB(rl)a                                                                               ,espiral barrada intermedia,2
 S_AB(s)bc pec                                                                       ,espiral barrada intermedia,2
 E2                                                                                                   ,elíptica,6
 SB(r_s)cd                                                                           ,espiral barrada,1
 SA0^-:                                                                                             ,espiral no barrada,0
 SB(rs)0/a                                                                                            ,espiral barrada,1
 SA(s)bc                                                                                              ,espiral no barrada,0
 SB(s)dm                                                                                              ,espiral barrada,1
 SAB(r_s)b                                                                           ,espiral barrada intermedia,2
 E1                                                                                                   ,elíptica,6
 SAB:(s)dm sp                                                                                         ,espiral barrada intermedia,2
 (R')SAB(rs)a                                                                               ,espiral barrada intermedia,2
 SAB(r'l)0^o                                                                              ,espiral barrada intermedia,2
 (R_1')SAB(l)ab                                                                             ,espiral barrada intermedia,2
 (R')SA(s)ab                                                                                ,espiral no barrada,0
 E0-1                                                                                                 ,elíptica,6
 SA(s)bc pec                                                                                          ,espiral no barrada,0
 S_AB(rs)c                                                                           ,espiral barrada intermedia,2
 SA(s)c                                                                                               ,espiral no barrada,0
 SAb spw                                                                                              ,espiral no barrada,0
 SA_B(rs)bc                                                                          ,espiral barrada intermedia,2
 dE3?                                                                                                 ,elíptica,6
 SA(s)bc                                                                                              ,espiral no barrada,0
 (R_1)SB(rl)0/a                                                                                     ,espiral barrada,1
 S_AB(s)c                                                                            ,espiral barrada intermedia,2
 SA(s)b pec                                                                                           ,espiral no barrada,0
 (R')SA(s)c                                                                                 ,espiral no barrada,0
 SB(r_s)d                                                                            ,espiral barrada,1
 SAB(s)c pec                                                                                          ,espiral barrada intermedia,2
 SAB(_rs)0/a                                                                         ,espiral barrada intermedia,2
 E1                                                                                                   ,elíptica,6
 (RL)S_AB_a(l)0^+                                                                ,espiral barrada intermedia,2
 SAB(s)d (cc)                                                                                         ,espiral barrada intermedia,2
 E2-3                                                                                                 ,elíptica,6
 Sdm sp                                                                                               ,espiral barra indeterminada,4
 SA(s)ab                                                                                              ,espiral no barrada,0
 SA(s)d                                                                                               ,espiral no barrada,0
 SAB(rs)ab                                                                                            ,espiral barrada intermedia,2
 SB_x0^+ sp                                                                                       ,espiral barrada peculiar,3
" (R')SA(rs,r)bc                                                                             ",espiral no barrada,0
 (R')SA(rs)a pec                                                                            ,espiral no barrada,0
 S_AB0^-                                                                           ,espiral barrada intermedia,2
 SA0^-:                                                                                             ,espiral no barrada,0
 S_AB(s)a pec                                                                        ,espiral barrada intermedia,2
 SA(s)bc                                                                                              ,espiral no barrada,0
 (R')SA(r)a                                                                                 ,espiral no barrada,0
" (R)SA_B_a(r'l,x_1r,nb)a                                                 ",espiral barrada intermedia,2
 SAB(rs)bc pec                                                                                        ,espiral barrada intermedia,2
 SA(s)c                                                                                               ,espiral no barrada,0
 E3                                                                                                   ,elíptica,6
 SB(s)dm pec or [(R')SB(s)d+SBd:] superposition                                             ,espiral barrada,1
 SB(rs)dm pec                                                                                         ,espiral barrada,1
 SA(rs)bc                                                                                             ,espiral no barrada,0
 SAc                                                                                                  ,espiral no barrada,0
 SA0^- / E6                                                                                         ,espiral no barrada,0
 SA(s)c pec                                                                                           ,espiral no barrada,0
 SA(r_s)c                                                                            ,espiral no barrada,0
 SA(s)b                                                                                               ,espiral no barrada,0
 SB(s)m                                                                                               ,espiral barrada,1
 SA(s)b:                                                                                              ,espiral no barrada,0
 SAc sp                                                                                               ,espiral no barrada,0
" SA(r,nl)b                                                                                            ",espiral no barrada,0
 (R')SA(rs)ab                                                                               ,espiral no barrada,0
 (R')SB(s)cd                                                                                ,espiral barrada,1
 SA(s)b                                                                                               ,espiral no barrada,0
 SAB(s)d                                                                                              ,espiral barrada intermedia,2
 SAB(r_s)cd                                                                          ,espiral barrada intermedia,2
 SA0/a: pec                                                                                           ,espiral no barrada,0
 S_AB(s)d                                                                            ,espiral barrada intermedia,2
" (R')SAB(r_s,rs)d                                                          ",espiral barrada intermedia,2
" (RL)SB(rs,bl)0^+                                                                                   ",espiral barrada,1
 SA(r)0^+ pec                                                                                       ,espiral no barrada,0
 SA(_rs)b                                                                            ,espiral no barrada,0
 SAB(s)cd                                                                                             ,espiral barrada intermedia,2
 (R')SB(r_s)d                                                              ,espiral barrada,1
 S_AB(r'l)b                                                                ,espiral barrada intermedia,2
 SAc sp                                                                                               ,espiral no barrada,0
 SAB(s)bc                                                                                             ,espiral barrada intermedia,2
 SB(s)dm                                                                                              ,espiral barrada,1
 SA(r)0^+ or SB_x0^+                                                                            ,espiral barrada peculiar,3
 SA(rs)ab / E-S0 pec                                                                                  ,lenticular,5
 S_AB(s)c                                                                            ,espiral barrada intermedia,2
 (R')SAB(s)0/a                                                                              ,espiral barrada intermedia,2
 SAB(s)c pec                                                                                          ,espiral barrada intermedia,2
 (R:)SA(l)0^o                                                                                       ,espiral no barrada,0
 SB(s)d pec                                                                                           ,espiral barrada,1
 SAa pec                                                                                              ,espiral no barrada,0
 SAc pec                                                                                              ,espiral no barrada,0
 SA0/a pec                                                                                            ,espiral no barrada,0
 SA(rs)bc                                                                                             ,espiral no barrada,0
 Sb spw                                                                                               ,espiral barra indeterminada,4
 SA(r'l)bc                                                                                  ,espiral no barrada,0
 SAB(s)d                                                                                              ,espiral barrada intermedia,2
 (R_1')SA(r)0/a                                                                             ,espiral no barrada,0
 (R')SA(s)b                                                                                 ,espiral no barrada,0
 Sa sp / E(d)2                                                                                        ,espiral barra indeterminada,4
 SAB(rs)b                                                                                             ,espiral barrada intermedia,2
" (R')SB(r,bl)ab                                                                             ",espiral barrada,1
 (R')SA(rl)a                                                                                ,espiral no barrada,0
" SA(rs:,nl)c pec                                                                                      ",espiral no barrada,0
 S                                                                                                    ,espiral barra indeterminada,4
 SA(rs)cd:                                                                                            ,espiral no barrada,0
 SA_B(s)d                                                                            ,espiral barrada intermedia,2
 SB(s)c pec                                                                                           ,espiral barrada,1
 SA(s)cd                                                                                              ,espiral no barrada,0
 SAB(s)cd pec                                                                                         ,espiral barrada intermedia,2
 SB(s)cd                                                                                              ,espiral barrada,1
 E^+1-2                                                                                             ,elíptica,6
 (R')SB(rs)a                                                                                ,espiral barrada,1
 SA(s)c                                                                                               ,espiral no barrada,0
 SA(s)c                                                                                               ,espiral no barrada,0
 E3                                                                                                   ,elíptica,6
 SA(rl)bc                                                                                             ,espiral no barrada,0
 SA(s)bc                                                                                              ,espiral no barrada,0
 S0^- sp pec / E5-6                                                                                 ,lenticular,5
 SAB(s)a                                                                                              ,espiral barrada intermedia,2
" (R_2')SB(_rs,bl)b                                                         ",espiral barrada,1
 SA(rs)b pec                                                                                          ,espiral no barrada,0
 (R')SAc sp                                                                                 ,espiral no barrada,0
 S_AB(rs)b                                                                           ,espiral barrada intermedia,2
 SA(r)0^o / E2                                                                                      ,espiral no barrada,0
 SB(rs)cd                                                                                             ,espiral barrada,1
 E0-1                                                                                                 ,elíptica,6
 (L)SAB(rs)a pec                                                                                      ,espiral barrada intermedia,2
" (R'L)SB(_rs,s)a                                                           ",espiral barrada,1
 IB(s)m                                                                                               ,irregular,7
 SAB(rs)cd                                                                                            ,espiral barrada intermedia,2
 (R')SAB(rs)bc: pec                                                                         ,espiral barrada intermedia,2
" (R_1')SAB(p,rs,bl)ab                                                                       ",espiral barrada intermedia,2
 SA(s)bc sp                                                                                           ,espiral no barrada,0
 SA(s)b                                                                                               ,espiral no barrada,0
 (R_1')SB_a(rs)a                                                                          ,espiral barrada peculiar,3
" SB(rs,bl)bc                                                                                          ",espiral barrada,1
 SB(s)cd sp                                                                                           ,espiral barrada,1
 SAc: sp pec                                                                                          ,espiral no barrada,0
" (R')SB(r,bl)b                                                                              ",espiral barrada,1
 (R')SAB_a(r'l)a                                                                ,espiral barrada peculiar,3
 SA0^-                                                                                              ,espiral no barrada,0
 S_AB(r)cd                                                                           ,espiral barrada intermedia,2
 (R')SB(s)dm (cc)                                                                           ,espiral barrada,1
 (R')SA(s)b                                                                                 ,espiral no barrada,0
 SA(s)b                                                                                               ,espiral no barrada,0
 (R')SA(r)ab                                                                                ,espiral no barrada,0
 Sc spw                                                                                               ,espiral barra indeterminada,4
 SB(rs)b                                                                                              ,espiral barrada,1
 SA(s)bc                                                                                              ,espiral no barrada,0
 SB0^-                                                                                              ,espiral barrada,1
 SA(s)c                                                                                               ,espiral no barrada,0
 (R')SA_B(r)a                                                              ,espiral barrada intermedia,2
 S_AB(s)c                                                                            ,espiral barrada intermedia,2
 SA:(s)bc sp                                                                                          ,espiral no barrada,0
 E1-2                                                                                                 ,elíptica,6
 (R_1R_2')SA(l)ab                                                                         ,espiral no barrada,0
 SA(s)b                                                                                               ,espiral no barrada,0
 SA_x(r)b                                                                                           ,espiral no barrada,0
 E1 pec (dust lane)                                                                                   ,elíptica,6
 SA(r_s)bc                                                                           ,espiral no barrada,0
 Sdm sp                                                                                               ,espiral barra indeterminada,4
 SA_B(s)0^o                                                                        ,espiral barrada intermedia,2
" SB(_rs,bl)b pec                                                                     ",espiral barrada,1
 SA(_rs)a pec                                                                        ,espiral no barrada,0
 S_AB(rs)0/a                                                                         ,espiral barrada intermedia,2
 (R_1')SA_B_a(l)a                                                        ,espiral barrada intermedia,2
 SB(s)b: sp                                                                                           ,espiral barrada,1
 SA(s)c                                                                                               ,espiral no barrada,0
 E4                                                                                                   ,elíptica,6
 (R_1)SB(r)0^+                                                                                    ,espiral barrada,1
 SA(s)bc                                                                                              ,espiral no barrada,0
 SA0^-                                                                                              ,espiral no barrada,0
 SA(s)c                                                                                               ,espiral no barrada,0
" SA_B(r,bl)bc pec                                                                    ",espiral barrada intermedia,2
 (R')SA(rl)a                                                                                ,espiral no barrada,0
 SB(_rs)bc pec                                                                       ,espiral barrada,1
 (R_1)SAB_xa(r'l)a                                                                    ,espiral barrada peculiar,3
" (R_1'R_2')SB_a(p,_rs,bl)b                                     ",espiral barrada peculiar,3
 SA(s)bc                                                                                              ,espiral no barrada,0
 SA(s)b                     ,espiral no barrada,0
 SA(r)bc                                                                                              ,espiral no barrada,0
 SA(r)ab pec                                                                                          ,espiral no barrada,0
 (R')S_AB(rs)bc: pec                                                       ,espiral barrada intermedia,2
 SB(_rs)bc pec                                                                       ,espiral barrada,1
 SA(s)bc sp                                                                                           ,espiral no barrada,0
 E(d)5 / SA0^-                                                                                      ,espiral no barrada,0
 SB(s)d sp                                                                                            ,espiral barrada,1
 SA(rs)b sp                                                                                           ,espiral no barrada,0
 SA0^- sp                                                                                           ,espiral no barrada,0
 (R_2')SAB_a(l)b                                                                          ,espiral barrada peculiar,3
 SA(s)bc                                                                                              ,espiral no barrada,0
 SA(r:)ab / E(d)1-2                                                                                   ,espiral no barrada,0
 (R_1')S_AB(_rs)ab spw?                                   ,espiral barrada intermedia,2
 SB0^-                                                                                              ,espiral barrada,1
 SAB(s)c sp                                                                                           ,espiral barrada intermedia,2
 SA(s)c                                                                                               ,espiral no barrada,0
 SA(s)c                                                                                               ,espiral no barrada,0
 SA(s)c                                                                                               ,espiral no barrada,0
" (R')SA(r'l,rs)c                                                                  ",espiral no barrada,0
 (R'L)SA(l)0/a                                                                              ,espiral no barrada,0
 (R')SA(s)ab                                                                                ,espiral no barrada,0
 SA(_rs)c                                                                            ,espiral no barrada,0
 (R')SAcd sp                                                                                ,espiral no barrada,0
 SA_B0^o                                                                           ,espiral barrada intermedia,2
 E4-5                                                                                                 ,elíptica,6
 SAc sp                                                                                               ,espiral no barrada,0
 SA(rs)bc                                                                                             ,espiral no barrada,0
 SA(s)b                                                                                               ,espiral no barrada,0
 (R')SB(rs)a                                                                                ,espiral barrada,1
 (R')SA(ls)b                                                                                ,espiral no barrada,0
 SAB_x(r)0^+                                                                                      ,espiral barrada peculiar,3
" (R')SA(s,l,s)b                                                                             ",espiral no barrada,0
 SB(rs)dm                                                                                             ,espiral barrada,1
 (R)SA(rs)a pec                                                                                       ,espiral no barrada,0
 SA(s)bc                                                                                              ,espiral no barrada,0
 SAd:                                                                                                 ,espiral no barrada,0
 SA(s)c                                                                                               ,espiral no barrada,0
 SAB(s)d sp                                                                                           ,espiral barrada intermedia,2
 SA(s)c pec                                                                                           ,espiral no barrada,0
" (R')SA(rs,l)b                                                                              ",espiral no barrada,0
 SA(rs)bc                                                                                             ,espiral no barrada,0
 (R')SAB(s)d                                                                                ,espiral barrada intermedia,2
 SA(rs)c                                                                                              ,espiral no barrada,0
 SA(rs)c                                                                                              ,espiral no barrada,0
 SA(s)b:                                                                                              ,espiral no barrada,0
 SA(rs)c sp                                                                                           ,espiral no barrada,0
 (R_1')SA_B(_rs)ab                                        ,espiral barrada intermedia,2
 E3-4                                                                                                 ,elíptica,6
" (R')SA_B_a(s,tb)b                                                       ",espiral barrada intermedia,2
 Sc spw                                                                                               ,espiral barra indeterminada,4
 SA(s)c                                                                                               ,espiral no barrada,0
 (R_2')SAB_a(r)a                                                                          ,espiral barrada peculiar,3
 Sb sp                                                                                                ,espiral barra indeterminada,4
 SA(s)c                                                                                               ,espiral no barrada,0
 SA(rs)0/a                                                                                            ,espiral no barrada,0
 (R')SA(s)cd pec                                                                            ,espiral no barrada,0
