Imagen,cig,Phase 2 clasiffication,explicación clasificación1,clasificación1,Indice,imagen_rotada,explicación clasificación2,clasificación_2
"[[[16 12  9]
  [15 11  8]
  [13  9  6]
  ...
  [ 5  1  2]
  [ 7  3  4]
  [ 9  5  6]]

 [[13  9  6]
  [12  8  5]
  [11  7  4]
  ...
  [ 6  2  3]
  [ 8  4  5]
  [ 9  5  6]]

 [[ 9  8  4]
  [ 8  7  3]
  [ 7  6  2]
  ...
  [ 6  2  3]
  [ 8  4  5]
  [10  6  7]]

 ...

 [[ 5  5  5]
  [ 5  5  5]
  [ 4  4  4]
  ...
  [10  4  4]
  [11  5  5]
  [11  5  5]]

 [[ 6  6  6]
  [ 6  6  6]
  [ 5  5  5]
  ...
  [ 9  3  3]
  [10  4  4]
  [10  4  4]]

 [[ 7  7  7]
  [ 6  6  6]
  [ 5  5  5]
  ...
  [ 9  3  3]
  [ 9  3  3]
  [ 9  3  3]]]",325, SA(rl)bc                                                                                             ,espiral,0,,,espiral no barrada,0
"[[[47  9 30]
  [46  8 29]
  [45  7 28]
  ...
  [ 3  1  2]
  [ 2  0  1]
  [ 1  0  0]]

 [[47  9 30]
  [44  9 29]
  [45  7 28]
  ...
  [ 4  2  3]
  [ 3  1  2]
  [ 2  0  1]]

 [[44  9 29]
  [43 10 29]
  [43  8 30]
  ...
  [ 6  4  5]
  [ 5  3  4]
  [ 4  2  3]]

 ...

 [[ 7  0  0]
  [ 8  0  0]
  [ 7  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 7  0  0]
  [ 7  0  0]
  [ 7  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 7  0  0]
  [ 7  0  0]
  [ 6  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]]",328, (R'L)SA(s)bc pec                                                                           ,espiral,0,,,espiral no barrada,0
"[[[ 8  7  5]
  [ 7  6  4]
  [ 7  6  4]
  ...
  [14 11  6]
  [17 12  8]
  [17 12  8]]

 [[ 9  8  6]
  [ 9  8  6]
  [ 7  6  4]
  ...
  [14 11  6]
  [17 12  8]
  [17 12  8]]

 [[11 10  8]
  [10  9  7]
  [ 9  8  6]
  ...
  [14 10  7]
  [17 12  9]
  [17 12  9]]

 ...

 [[ 1  3  2]
  [ 1  3  2]
  [ 1  3  2]
  ...
  [ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]]

 [[ 2  4  3]
  [ 2  4  3]
  [ 2  4  3]
  ...
  [ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]]

 [[ 3  5  4]
  [ 3  5  4]
  [ 3  5  4]
  ...
  [ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]]]",329, SA(rs)b sp                                                                                           ,espiral,0,,,espiral no barrada,0
"[[[9 9 9]
  [8 8 8]
  [6 6 6]
  ...
  [6 4 5]
  [5 3 4]
  [4 2 3]]

 [[8 8 8]
  [7 7 7]
  [6 6 6]
  ...
  [6 4 5]
  [5 3 4]
  [4 2 3]]

 [[7 7 7]
  [7 7 7]
  [6 6 6]
  ...
  [7 5 6]
  [5 3 4]
  [4 2 3]]

 ...

 [[2 0 1]
  [2 0 1]
  [2 0 1]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[5 1 2]
  [5 1 2]
  [5 1 2]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[6 2 3]
  [6 2 3]
  [6 2 3]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]",327, (R')SAB(s)0/a                                                                              ,espiral,0,,,espiral barrada intermedia,2
"[[[ 3  5  2]
  [ 3  5  2]
  [ 3  5  2]
  ...
  [ 9 10  5]
  [11 12  7]
  [12 13  8]]

 [[ 4  6  3]
  [ 4  6  3]
  [ 4  6  3]
  ...
  [ 8  9  4]
  [ 9 10  5]
  [10 11  6]]

 [[ 5  5  3]
  [ 5  5  3]
  [ 5  5  3]
  ...
  [ 7  6  2]
  [ 9  8  4]
  [ 9  8  4]]

 ...

 [[15  7  4]
  [16  8  5]
  [17  9  6]
  ...
  [17  6  4]
  [19  5  5]
  [19  5  5]]

 [[12  7  3]
  [12  7  3]
  [14  9  5]
  ...
  [16  6  5]
  [16  4  6]
  [16  4  6]]

 [[11  6  2]
  [11  6  2]
  [13  8  4]
  ...
  [16  6  5]
  [17  5  7]
  [16  4  6]]]",25, SA(r)0^+ / E1                                                                                      ,espiral,0,,,espiral no barrada,0
"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 1  0  0]
  [ 1  0  0]
  [ 1  0  0]]

 [[ 0  0  0]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 1  0  0]
  [ 1  0  0]
  [ 1  0  0]]

 [[ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]
  ...
  [ 1  0  0]
  [ 1  0  0]
  [ 1  0  0]]

 ...

 [[ 0  2  1]
  [ 0  2  1]
  [ 0  2  1]
  ...
  [ 9  4  1]
  [ 8  3  0]
  [ 7  2  0]]

 [[ 0  2  1]
  [ 0  2  1]
  [ 0  2  1]
  ...
  [10  5  2]
  [ 9  4  1]
  [ 8  3  0]]

 [[ 0  2  1]
  [ 0  2  1]
  [ 0  2  1]
  ...
  [11  6  3]
  [10  5  2]
  [ 9  4  1]]]",331," (R')SA(rs,r)b                                                                              ",espiral,0,,,espiral no barrada,0
"[[[2 2 2]
  [1 1 1]
  [1 1 1]
  ...
  [2 0 1]
  [2 0 1]
  [2 0 1]]

 [[3 3 3]
  [2 2 2]
  [2 2 2]
  ...
  [2 0 1]
  [2 0 1]
  [2 0 1]]

 [[4 4 4]
  [4 4 4]
  [3 3 3]
  ...
  [3 1 2]
  [2 0 1]
  [2 0 1]]

 ...

 [[3 3 5]
  [3 3 5]
  [4 4 6]
  ...
  [2 0 1]
  [2 0 1]
  [2 0 1]]

 [[3 3 5]
  [3 3 5]
  [3 3 5]
  ...
  [2 0 1]
  [2 0 1]
  [2 0 1]]

 [[3 3 5]
  [3 3 5]
  [3 3 5]
  ...
  [2 0 1]
  [2 0 1]
  [2 0 1]]]",332, SA(l)0^+ / E(d)5                                                                                   ,espiral,0,,,espiral no barrada,0
"[[[ 2  2  2]
  [ 1  1  1]
  [ 0  0  0]
  ...
  [ 2  7  3]
  [ 2  7  3]
  [ 1  6  2]]

 [[ 2  2  2]
  [ 1  1  1]
  [ 0  0  0]
  ...
  [ 3  8  4]
  [ 3  8  4]
  [ 2  7  3]]

 [[ 2  2  2]
  [ 1  1  1]
  [ 0  0  0]
  ...
  [ 7  9  6]
  [ 6  8  5]
  [ 6  8  5]]

 ...

 [[ 2  1  0]
  [ 3  2  0]
  [ 4  3  1]
  ...
  [ 5  4  9]
  [ 5  4  9]
  [ 3  4  8]]

 [[ 2  1  0]
  [ 3  2  0]
  [ 4  3  1]
  ...
  [ 6  3 10]
  [ 6  3 10]
  [ 4  3  9]]

 [[ 3  2  0]
  [ 3  2  0]
  [ 4  3  1]
  ...
  [ 6  3 10]
  [ 6  3 12]
  [ 5  2 11]]]",333, SA(s)bc                                                                                              ,espiral,0,,,espiral no barrada,0
"[[[3 0 0]
  [4 0 1]
  [4 0 1]
  ...
  [8 2 4]
  [8 2 4]
  [8 2 4]]

 [[3 0 0]
  [4 0 1]
  [4 0 1]
  ...
  [8 2 4]
  [8 2 4]
  [8 2 4]]

 [[4 0 1]
  [4 0 1]
  [5 1 2]
  ...
  [7 3 4]
  [7 3 4]
  [6 2 3]]

 ...

 [[0 5 0]
  [0 7 0]
  [0 6 0]
  ...
  [4 3 1]
  [6 2 1]
  [7 3 2]]

 [[0 5 0]
  [0 6 0]
  [0 6 0]
  ...
  [5 1 0]
  [7 1 1]
  [7 1 1]]

 [[0 5 0]
  [0 6 0]
  [0 5 0]
  ...
  [5 1 0]
  [6 0 0]
  [7 1 1]]]",334, SA(rs)b: sp                                                                                          ,espiral,0,,,espiral no barrada,0
"[[[1 0 0]
  [1 0 0]
  [2 0 1]
  ...
  [6 2 1]
  [6 1 0]
  [5 0 0]]

 [[1 0 0]
  [1 0 0]
  [3 1 2]
  ...
  [5 1 0]
  [5 0 0]
  [5 0 0]]

 [[2 0 1]
  [2 0 1]
  [4 2 3]
  ...
  [5 1 0]
  [5 0 0]
  [5 0 0]]

 ...

 [[5 1 0]
  [6 2 0]
  [7 3 0]
  ...
  [4 0 3]
  [5 0 3]
  [5 0 3]]

 [[6 1 0]
  [7 2 0]
  [8 3 0]
  ...
  [4 0 5]
  [5 0 5]
  [5 0 5]]

 [[7 2 0]
  [7 2 0]
  [8 3 0]
  ...
  [5 0 6]
  [5 0 5]
  [5 0 5]]]",330, SAB(rs)b                                                                                             ,espiral,0,,,espiral barrada intermedia,2
"[[[0 1 0]
  [0 1 0]
  [1 2 0]
  ...
  [8 8 8]
  [6 6 6]
  [5 5 5]]

 [[0 1 0]
  [1 2 0]
  [1 2 0]
  ...
  [8 8 8]
  [6 6 6]
  [5 5 5]]

 [[1 2 0]
  [1 2 0]
  [2 3 0]
  ...
  [9 9 9]
  [7 7 7]
  [5 5 5]]

 ...

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [1 1 3]
  [1 1 3]
  [1 1 3]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [1 1 3]
  [1 1 3]
  [1 1 3]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [1 1 3]
  [1 1 3]
  [1 1 3]]]",336," (R_1')SB(_rs,bl)ab                                                        ",espiral,0,,,espiral barrada,1
"[[[3 2 7]
  [3 2 7]
  [3 2 7]
  ...
  [2 1 0]
  [2 1 0]
  [2 1 0]]

 [[3 2 7]
  [3 2 7]
  [3 2 7]
  ...
  [2 1 0]
  [2 1 0]
  [2 1 0]]

 [[3 3 5]
  [3 3 5]
  [3 3 5]
  ...
  [1 0 0]
  [2 1 0]
  [2 1 0]]

 ...

 [[2 2 2]
  [2 2 2]
  [3 3 3]
  ...
  [1 5 4]
  [1 5 4]
  [1 5 4]]

 [[3 3 3]
  [3 3 3]
  [4 4 4]
  ...
  [2 6 5]
  [2 6 5]
  [2 6 5]]

 [[3 3 3]
  [4 4 4]
  [4 4 4]
  ...
  [2 6 5]
  [2 6 5]
  [2 6 5]]]",338, (R')E4                                                                                     ,elíptica,1,,,elíptica,6
"[[[12  2  0]
  [11  1  0]
  [10  0  0]
  ...
  [ 1  1  1]
  [ 0  0  0]
  [ 0  0  0]]

 [[11  1  0]
  [11  1  0]
  [10  0  0]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 0  0  0]]

 [[10  0  0]
  [10  0  0]
  [10  0  0]
  ...
  [ 2  2  2]
  [ 2  2  2]
  [ 1  1  1]]

 ...

 [[ 3  3  3]
  [ 4  4  4]
  [ 6  6  6]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[ 3  3  3]
  [ 4  4  4]
  [ 5  5  5]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[ 2  2  2]
  [ 3  3  3]
  [ 5  5  5]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]]",339," (R_2')SA_B_a(s,nb)bc                                                    ",espiral,0,,,espiral barrada intermedia,2
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [2 2 2]
  [1 1 1]
  [1 1 1]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [2 2 2]
  [2 2 2]
  [1 1 1]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [2 2 2]
  [2 2 2]
  [2 2 2]]

 ...

 [[6 2 3]
  [6 2 3]
  [6 2 3]
  ...
  [5 1 0]
  [5 1 0]
  [5 1 0]]

 [[6 2 3]
  [6 2 3]
  [6 2 3]
  ...
  [4 0 0]
  [4 0 0]
  [4 0 0]]

 [[6 2 3]
  [6 2 3]
  [6 2 3]
  ...
  [4 0 0]
  [3 0 0]
  [3 0 0]]]",337, SA(rs)b                                                                                              ,espiral,0,,,espiral no barrada,0
"[[[4 3 1]
  [3 2 0]
  [2 1 0]
  ...
  [3 2 0]
  [3 2 0]
  [3 2 0]]

 [[3 2 0]
  [3 2 0]
  [2 1 0]
  ...
  [3 2 0]
  [3 2 0]
  [3 2 0]]

 [[2 1 0]
  [2 1 0]
  [2 1 0]
  ...
  [2 1 0]
  [3 2 0]
  [3 2 0]]

 ...

 [[3 1 2]
  [3 1 2]
  [3 1 2]
  ...
  [0 2 1]
  [0 2 1]
  [0 2 1]]

 [[3 1 2]
  [3 1 2]
  [3 1 2]
  ...
  [0 2 1]
  [0 2 1]
  [0 2 1]]

 [[3 1 2]
  [3 1 2]
  [3 1 2]
  ...
  [0 2 1]
  [0 2 1]
  [0 2 1]]]",27, Sd: sp                                                                                               ,espiral,0,,,espiral barra indeterminada,4
"[[[1 0 0]
  [1 0 0]
  [1 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[1 0 0]
  [1 0 0]
  [1 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[2 0 1]
  [2 0 1]
  [2 0 1]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 ...

 [[4 5 0]
  [4 5 0]
  [4 4 2]
  ...
  [3 1 2]
  [4 2 3]
  [5 3 4]]

 [[4 5 0]
  [3 4 0]
  [3 3 1]
  ...
  [3 1 2]
  [3 1 2]
  [4 2 3]]

 [[3 4 0]
  [3 4 0]
  [3 3 1]
  ...
  [2 0 1]
  [3 1 2]
  [4 2 3]]]",335, SA(s)c                                                                                               ,espiral,0,,,espiral no barrada,0
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 0 0]
  [2 1 0]
  [2 1 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [2 1 0]
  [2 1 0]
  [2 1 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [2 1 0]
  [1 0 0]
  [1 0 0]]

 ...

 [[2 0 3]
  [4 2 5]
  [6 4 7]
  ...
  [1 1 1]
  [0 2 1]
  [0 1 0]]

 [[1 0 2]
  [3 1 4]
  [5 3 6]
  ...
  [1 1 1]
  [0 1 0]
  [0 1 0]]

 [[1 0 2]
  [2 0 3]
  [4 2 5]
  ...
  [0 0 0]
  [0 1 0]
  [0 1 0]]]",341, SAa pec                                                                                              ,espiral,0,,,espiral no barrada,0
"[[[ 8  8  8]
  [ 7  7  7]
  [ 6  6  6]
  ...
  [10  6  7]
  [ 9  3  5]
  [ 8  2  4]]

 [[ 7  7  7]
  [ 7  7  7]
  [ 6  6  6]
  ...
  [10  6  7]
  [ 9  3  5]
  [ 8  2  4]]

 [[ 6  6  6]
  [ 6  6  6]
  [ 6  6  6]
  ...
  [ 9  5  6]
  [ 8  2  4]
  [ 7  1  3]]

 ...

 [[ 7  5  6]
  [ 7  5  6]
  [ 7  5  6]
  ...
  [ 5  3  4]
  [ 3  1  2]
  [ 2  0  1]]

 [[ 7  5  6]
  [ 6  4  5]
  [ 6  4  5]
  ...
  [ 5  3  4]
  [ 3  1  2]
  [ 2  0  1]]

 [[ 6  4  5]
  [ 6  4  5]
  [ 6  4  5]
  ...
  [ 5  3  4]
  [ 3  1  2]
  [ 2  0  1]]]",340, SA(rs)c                                                                                              ,espiral,0,,,espiral no barrada,0
"[[[5 0 1]
  [6 0 2]
  [5 1 2]
  ...
  [0 2 1]
  [0 2 1]
  [0 1 0]]

 [[5 0 1]
  [6 0 2]
  [5 1 2]
  ...
  [0 1 0]
  [0 1 0]
  [0 1 0]]

 [[6 0 2]
  [6 0 2]
  [6 2 3]
  ...
  [0 1 0]
  [0 1 0]
  [0 1 0]]

 ...

 [[2 2 4]
  [2 2 4]
  [2 2 4]
  ...
  [2 1 0]
  [1 1 0]
  [2 2 0]]

 [[2 2 4]
  [2 2 4]
  [2 2 4]
  ...
  [2 1 0]
  [2 2 0]
  [2 2 0]]

 [[2 2 4]
  [2 2 4]
  [2 2 4]
  ...
  [2 1 0]
  [2 2 0]
  [2 2 0]]]",342, Sa sp / E(b)2 pec                                                                                    ,espiral,0,,,espiral barra indeterminada,4
"[[[ 0  0  0]
  [ 0  0  0]
  [ 1  1  1]
  ...
  [ 9  0  3]
  [ 9  0  3]
  [ 9  0  3]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 1  1  1]
  ...
  [ 9  0  3]
  [ 9  0  3]
  [ 9  0  3]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 1  1  1]
  ...
  [ 9  0  3]
  [ 9  0  3]
  [ 9  0  3]]

 ...

 [[ 6  6  0]
  [ 6  6  0]
  [ 7  7  0]
  ...
  [ 2  0 11]
  [ 2  0 11]
  [ 2  0 11]]

 [[ 4  4  0]
  [ 4  4  0]
  [ 5  5  0]
  ...
  [ 1  0 10]
  [ 1  0 10]
  [ 1  0 10]]

 [[ 3  3  0]
  [ 3  3  0]
  [ 4  4  0]
  ...
  [ 1  0 10]
  [ 1  0 10]
  [ 1  0 10]]]",343, SB(rs)dm                                                                                             ,espiral,0,,,espiral barrada,1
"[[[ 1  1  0]
  [ 1  1  0]
  [ 1  1  0]
  ...
  [11  2  5]
  [ 9  0  3]
  [ 8  0  2]]

 [[ 1  1  0]
  [ 1  1  0]
  [ 1  1  0]
  ...
  [11  2  5]
  [10  1  4]
  [ 9  0  3]]

 [[ 1  1  0]
  [ 1  1  0]
  [ 1  1  0]
  ...
  [12  3  6]
  [11  2  5]
  [10  1  4]]

 ...

 [[ 1  0  0]
  [ 1  0  0]
  [ 2  0  1]
  ...
  [ 9  0  0]
  [ 9  0  0]
  [ 9  0  0]]

 [[ 1  0  0]
  [ 2  0  1]
  [ 2  0  1]
  ...
  [ 9  0  0]
  [10  0  1]
  [10  0  1]]

 [[ 2  0  1]
  [ 2  0  1]
  [ 3  1  2]
  ...
  [10  0  1]
  [10  0  1]
  [11  1  2]]]",344, S_AB(s)cd                                                                           ,espiral,0,,,espiral barrada intermedia,2
"[[[3 3 1]
  [3 3 1]
  [1 3 0]
  ...
  [1 0 0]
  [1 0 0]
  [1 0 0]]

 [[2 2 0]
  [2 2 0]
  [0 2 0]
  ...
  [1 0 0]
  [1 0 0]
  [1 0 0]]

 [[1 1 0]
  [1 1 0]
  [0 2 0]
  ...
  [1 0 0]
  [1 0 0]
  [1 0 0]]

 ...

 [[5 0 1]
  [5 0 1]
  [4 0 1]
  ...
  [5 1 2]
  [3 1 2]
  [2 2 2]]

 [[5 0 1]
  [5 0 1]
  [4 0 1]
  ...
  [6 2 3]
  [4 2 3]
  [4 2 3]]

 [[5 0 1]
  [5 0 1]
  [4 0 1]
  ...
  [6 2 3]
  [4 2 3]
  [4 2 3]]]",346, (R)SA(rl)a                                                                                           ,espiral,0,,,espiral no barrada,0
"[[[ 9  8  3]
  [ 8  7  2]
  [ 6  5  1]
  ...
  [ 1  0  2]
  [ 1  0  2]
  [ 1  0  2]]

 [[ 9  8  3]
  [ 8  7  2]
  [ 6  5  1]
  ...
  [ 2  0  3]
  [ 1  0  2]
  [ 1  0  2]]

 [[ 9  8  3]
  [ 8  7  2]
  [ 6  5  1]
  ...
  [ 2  0  3]
  [ 2  0  3]
  [ 1  0  2]]

 ...

 [[ 3  3  3]
  [ 2  2  2]
  [ 2  2  2]
  ...
  [10  8  9]
  [ 8  6  7]
  [ 7  5  6]]

 [[ 3  3  3]
  [ 3  3  3]
  [ 2  2  2]
  ...
  [11  9 10]
  [ 9  7  8]
  [ 8  6  7]]

 [[ 4  4  4]
  [ 3  3  3]
  [ 2  2  2]
  ...
  [12 10 11]
  [10  8  9]
  [ 8  6  7]]]",348, (R')SAB(s)0/a                                                                              ,espiral,0,,,espiral barrada intermedia,2
"[[[0 0 2]
  [0 0 2]
  [0 0 2]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 2]
  [0 0 2]
  [0 0 2]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 2 1]
  [0 2 1]
  [0 2 1]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[4 2 3]
  [5 3 4]
  [6 4 5]
  ...
  [3 3 3]
  [3 3 3]
  [3 3 3]]

 [[2 2 2]
  [3 3 3]
  [5 5 5]
  ...
  [4 4 4]
  [4 4 4]
  [4 4 4]]

 [[2 2 2]
  [3 3 3]
  [4 4 4]
  ...
  [5 5 5]
  [5 5 5]
  [5 5 5]]]",345, SAc sp                                                                                               ,espiral,0,,,espiral no barrada,0
"[[[2 2 2]
  [1 1 1]
  [1 1 1]
  ...
  [5 5 5]
  [4 4 4]
  [3 3 3]]

 [[2 2 2]
  [1 1 1]
  [1 1 1]
  ...
  [4 4 4]
  [3 3 3]
  [2 2 2]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [3 3 3]
  [2 2 2]
  [1 1 1]]

 ...

 [[0 3 4]
  [0 3 4]
  [0 2 3]
  ...
  [2 1 0]
  [2 1 0]
  [2 1 0]]

 [[0 3 6]
  [0 2 5]
  [0 2 3]
  ...
  [2 1 0]
  [1 0 0]
  [1 0 0]]

 [[0 3 6]
  [0 2 5]
  [0 2 3]
  ...
  [1 0 0]
  [1 0 0]
  [1 0 0]]]",349, Pec (merger)                                                                                         ,peculiar,4,,,peculiar,8
"[[[ 2  1  6]
  [ 1  0  5]
  [ 1  0  5]
  ...
  [14 10  9]
  [14 10  9]
  [13  9  8]]

 [[ 2  1  6]
  [ 1  0  5]
  [ 1  0  5]
  ...
  [13  9  8]
  [13  9  8]
  [13  9  8]]

 [[ 2  2  4]
  [ 1  1  3]
  [ 1  1  3]
  ...
  [12  8  7]
  [12  8  7]
  [12  8  7]]

 ...

 [[11 13  8]
  [11 13  8]
  [12 14  9]
  ...
  [ 4  2  3]
  [ 5  3  4]
  [ 5  3  4]]

 [[ 9 14  8]
  [10 15  9]
  [13 15 10]
  ...
  [ 6  4  5]
  [ 6  4  5]
  [ 7  5  6]]

 [[ 8 15  8]
  [10 17 10]
  [13 15 10]
  ...
  [ 7  5  6]
  [ 7  5  6]
  [ 8  6  7]]]",350, SAB(s)b sp                                                                                           ,espiral,0,,,espiral barrada intermedia,2
"[[[ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]
  ...
  [ 8  2  4]
  [ 9  3  5]
  [10  4  6]]

 [[ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]
  ...
  [ 6  0  2]
  [ 7  1  3]
  [ 8  2  4]]

 [[ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]
  ...
  [ 4  0  1]
  [ 5  1  2]
  [ 5  1  2]]

 ...

 [[ 2  1  0]
  [ 2  1  0]
  [ 3  2  0]
  ...
  [ 3  1  2]
  [ 5  3  4]
  [ 6  4  5]]

 [[ 1  0  0]
  [ 2  1  0]
  [ 3  2  0]
  ...
  [ 3  1  2]
  [ 5  3  4]
  [ 6  4  5]]

 [[ 1  0  0]
  [ 2  1  0]
  [ 2  1  0]
  ...
  [ 2  0  1]
  [ 4  2  3]
  [ 6  4  5]]]",29, Sdm sp                                                                                               ,espiral,0,,,espiral barra indeterminada,4
"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 5  5  3]
  [ 4  3  1]
  [ 3  2  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 5  5  3]
  [ 4  3  1]
  [ 3  2  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 5  5  3]
  [ 4  3  1]
  [ 3  2  0]]

 ...

 [[68 17  0]
  [68 17  0]
  [67 18  1]
  ...
  [ 2  4  3]
  [ 2  4  3]
  [ 2  4  3]]

 [[69 16  0]
  [68 17  0]
  [67 18  1]
  ...
  [ 2  4  3]
  [ 2  4  3]
  [ 2  4  3]]

 [[69 16  0]
  [69 18  1]
  [69 18  1]
  ...
  [ 2  4  3]
  [ 2  4  3]
  [ 2  4  3]]]",351," (R',R')SB(r)a pec                                                                ",espiral,0,,,espiral barrada,1
"[[[ 1  2  0]
  [ 1  2  0]
  [ 1  1  0]
  ...
  [ 0  0  4]
  [ 0  0  5]
  [ 0  0  5]]

 [[ 1  2  0]
  [ 1  2  0]
  [ 1  1  0]
  ...
  [ 0  0  4]
  [ 0  0  5]
  [ 0  0  5]]

 [[ 1  2  0]
  [ 1  2  0]
  [ 1  1  0]
  ...
  [ 0  0  4]
  [ 0  0  5]
  [ 0  0  5]]

 ...

 [[ 5  3  4]
  [ 6  4  5]
  [ 8  6  7]
  ...
  [19  5  2]
  [20  6  3]
  [20  6  3]]

 [[ 6  4  5]
  [ 7  5  6]
  [10  8  9]
  ...
  [19  5  2]
  [20  5  2]
  [20  5  2]]

 [[ 6  4  5]
  [ 8  6  7]
  [10  8  9]
  ...
  [19  5  2]
  [20  5  2]
  [20  5  2]]]",352," Im sp / E(b,d)6-7                                                                                    ",elíptica,1,,,irregular,7
"[[[ 6  6  6]
  [ 5  5  5]
  [ 4  4  4]
  ...
  [ 3  2  0]
  [ 2  1  0]
  [ 2  1  0]]

 [[ 6  6  6]
  [ 5  5  5]
  [ 4  4  4]
  ...
  [ 2  1  0]
  [ 2  1  0]
  [ 1  0  0]]

 [[ 5  5  5]
  [ 5  5  5]
  [ 3  3  3]
  ...
  [ 1  0  0]
  [ 1  0  0]
  [ 1  0  0]]

 ...

 [[ 4  2  3]
  [ 4  2  3]
  [ 5  3  4]
  ...
  [28  7  4]
  [26  5  2]
  [25  4  1]]

 [[ 3  1  2]
  [ 4  2  3]
  [ 4  2  3]
  ...
  [27  6  3]
  [25  4  1]
  [23  2  0]]

 [[ 3  1  2]
  [ 4  2  3]
  [ 4  2  3]
  ...
  [27  6  3]
  [25  4  1]
  [22  1  0]]]",353, SB(rs)dm                                                                                             ,espiral,0,,,espiral barrada,1
"[[[11  7  6]
  [13  9  8]
  [16 12 11]
  ...
  [ 9  8  4]
  [10  7  2]
  [10  7  2]]

 [[10  6  5]
  [12  8  7]
  [15 11 10]
  ...
  [ 9  8  4]
  [10  7  2]
  [ 9  6  1]]

 [[ 9  5  4]
  [11  7  6]
  [13  9  8]
  ...
  [ 9  8  4]
  [10  7  2]
  [ 9  6  1]]

 ...

 [[ 5  0  1]
  [ 5  0  1]
  [ 4  0  1]
  ...
  [ 1  0  0]
  [ 1  0  0]
  [ 1  0  0]]

 [[ 5  0  1]
  [ 5  0  1]
  [ 4  0  1]
  ...
  [ 1  0  0]
  [ 1  0  0]
  [ 1  0  0]]

 [[ 5  0  1]
  [ 5  0  1]
  [ 4  0  1]
  ...
  [ 1  0  0]
  [ 1  0  0]
  [ 1  0  0]]]",354, SAB(s)dm                                                                                             ,espiral,0,,,espiral barrada intermedia,2
"[[[1 0 4]
  [1 0 4]
  [1 0 4]
  ...
  [8 4 3]
  [8 4 3]
  [7 3 2]]

 [[1 0 4]
  [1 0 4]
  [1 0 4]
  ...
  [8 4 3]
  [8 4 3]
  [7 3 2]]

 [[1 0 4]
  [1 0 4]
  [1 0 4]
  ...
  [9 5 4]
  [8 4 3]
  [8 4 3]]

 ...

 [[4 6 3]
  [4 6 3]
  [3 5 2]
  ...
  [1 1 0]
  [1 1 0]
  [1 1 0]]

 [[3 5 2]
  [3 5 2]
  [2 4 1]
  ...
  [1 1 0]
  [1 1 0]
  [1 1 0]]

 [[2 4 1]
  [2 4 1]
  [1 3 0]
  ...
  [1 1 0]
  [1 1 0]
  [1 1 0]]]",355, SB(s)dm                                                                                              ,espiral,0,,,espiral barrada,1
