Indice,Imagen_auto_scale,cig,Phase 2 clasiffication,explicación clasificación1,clasificación1,imagen_rotada,explicación clasificación2,clasificación_2
109,"[[[2 2 0]
  [2 2 0]
  [2 2 0]
  ...
  [4 0 0]
  [4 0 0]
  [4 0 0]]

 [[2 2 0]
  [2 2 0]
  [2 2 0]
  ...
  [4 0 0]
  [4 0 0]
  [4 0 0]]

 [[2 2 0]
  [2 2 0]
  [2 2 0]
  ...
  [4 0 0]
  [4 0 0]
  [4 0 0]]

 ...

 [[1 0 0]
  [1 0 0]
  [1 0 0]
  ...
  [7 7 7]
  [7 7 7]
  [7 7 7]]

 [[1 0 0]
  [1 0 0]
  [1 0 0]
  ...
  [7 7 7]
  [7 7 7]
  [7 7 7]]

 [[1 0 0]
  [1 0 0]
  [1 0 0]
  ...
  [7 7 7]
  [7 7 7]
  [7 7 7]]]",195, (R_1')SAB(_rs)a                                                           ,espiral,0,,espiral barrada intermedia,2
111,"[[[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [2 4 3]
  [2 4 3]
  [2 4 3]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [2 4 3]
  [2 4 3]
  [2 4 3]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [3 3 3]
  [2 4 3]
  [2 4 3]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [8 9 4]
  [8 9 4]
  [8 9 4]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [8 9 4]
  [8 9 4]
  [8 9 4]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [8 9 4]
  [8 9 4]
  [8 9 4]]]",198," SA(s,nb)c pec                                                                                        ",espiral,0,,espiral no barrada,0
110,"[[[7 2 0]
  [7 2 0]
  [7 2 0]
  ...
  [0 9 6]
  [0 9 6]
  [0 9 6]]

 [[7 2 0]
  [7 2 0]
  [7 2 0]
  ...
  [0 9 6]
  [0 9 6]
  [0 9 6]]

 [[7 2 0]
  [7 2 0]
  [7 2 0]
  ...
  [0 9 6]
  [0 9 6]
  [0 9 6]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [5 5 5]
  [5 5 5]
  [5 5 5]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [4 4 4]
  [4 4 4]
  [4 4 4]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [4 4 4]
  [4 4 4]
  [4 4 4]]]",196, SAB:(s)d sp                                                                                          ,espiral,0,,espiral barrada intermedia,2
112,"[[[ 8  4  3]
  [ 8  4  3]
  [ 8  4  3]
  ...
  [ 8  0  0]
  [ 8  0  0]
  [ 7  0  0]]

 [[ 8  4  3]
  [ 8  4  3]
  [ 8  4  3]
  ...
  [ 9  1  0]
  [ 8  0  0]
  [ 7  0  0]]

 [[ 9  5  4]
  [ 9  5  4]
  [ 8  4  3]
  ...
  [ 9  0  1]
  [ 8  0  0]
  [ 8  0  0]]

 ...

 [[17  0  0]
  [15  0  0]
  [15  0  0]
  ...
  [10  5  2]
  [10  5  2]
  [10  5  2]]

 [[18  0  0]
  [17  0  0]
  [17  0  0]
  ...
  [10  5  2]
  [10  5  2]
  [10  5  2]]

 [[18  0  0]
  [18  0  0]
  [17  0  0]
  ...
  [10  5  2]
  [10  5  2]
  [10  5  2]]]",199, (R')S_AB(s)bc                                                             ,espiral,0,,espiral barrada intermedia,2
113,"[[[5 4 2]
  [5 4 2]
  [5 4 2]
  ...
  [5 5 5]
  [5 5 5]
  [5 5 5]]

 [[5 4 2]
  [5 4 2]
  [5 4 2]
  ...
  [5 5 5]
  [5 5 5]
  [5 5 5]]

 [[5 4 2]
  [5 4 2]
  [5 4 2]
  ...
  [5 5 5]
  [5 5 5]
  [5 5 5]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 3 0]
  [0 3 0]
  [0 3 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 3 0]
  [0 3 0]
  [0 3 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 3 0]
  [0 3 0]
  [0 3 0]]]",200," SB(rs,bl)bc                                                                                          ",espiral,0,,espiral barrada,1
114,"[[[ 6  7 11]
  [ 7  8 12]
  [ 7  8 12]
  ...
  [ 0  1  0]
  [ 0  1  0]
  [ 0  1  0]]

 [[ 4  5  9]
  [ 6  7 11]
  [ 6  7 11]
  ...
  [ 2  3  0]
  [ 1  2  0]
  [ 1  2  0]]

 [[ 4  4  6]
  [ 5  5  7]
  [ 5  5  7]
  ...
  [ 3  3  1]
  [ 2  2  0]
  [ 1  1  0]]

 ...

 [[20 16  7]
  [17 13  4]
  [13  8  4]
  ...
  [ 0  2  0]
  [ 0  2  0]
  [ 0  2  0]]

 [[18 14  5]
  [15 11  2]
  [12  7  3]
  ...
  [ 1  3  0]
  [ 1  3  0]
  [ 2  4  1]]

 [[17 13  4]
  [15 11  2]
  [12  7  3]
  ...
  [ 2  4  1]
  [ 2  4  1]
  [ 3  5  2]]]",201, SA(rs)c sp                                                                                           ,espiral,0,,espiral no barrada,0
115,"[[[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [6 0 0]
  [6 0 0]
  [6 0 0]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [6 0 0]
  [6 0 0]
  [6 0 0]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [6 0 0]
  [6 0 0]
  [6 0 0]]

 ...

 [[3 4 6]
  [3 4 6]
  [4 5 7]
  ...
  [4 5 7]
  [2 6 7]
  [3 7 8]]

 [[3 4 6]
  [4 5 7]
  [4 5 7]
  ...
  [4 5 7]
  [3 7 8]
  [3 7 8]]

 [[3 4 6]
  [4 5 7]
  [4 5 7]
  ...
  [5 6 8]
  [3 7 8]
  [3 7 8]]]",203, SAB(s)cd                                                                                             ,espiral,0,,espiral barrada intermedia,2
116,"[[[ 1  6  2]
  [ 1  6  2]
  [ 1  6  2]
  ...
  [ 5  3  6]
  [ 5  3  6]
  [ 5  3  6]]

 [[ 1  6  2]
  [ 1  6  2]
  [ 1  6  2]
  ...
  [ 5  3  6]
  [ 5  3  6]
  [ 5  3  6]]

 [[ 1  6  2]
  [ 1  6  2]
  [ 1  6  2]
  ...
  [ 5  3  6]
  [ 5  3  6]
  [ 5  3  6]]

 ...

 [[ 8  0  2]
  [ 8  0  2]
  [ 8  0  2]
  ...
  [ 4 10  0]
  [ 3 11  0]
  [ 3 11  0]]

 [[ 8  0  2]
  [ 8  0  2]
  [ 8  0  2]
  ...
  [ 4 10  0]
  [ 3 11  0]
  [ 3 11  0]]

 [[ 8  0  2]
  [ 8  0  2]
  [ 8  0  2]
  ...
  [ 4 10  0]
  [ 3 11  0]
  [ 3 11  0]]]",204," (R')SA(_rs,bl)b                                                           ",espiral,0,,espiral no barrada,0
117,"[[[ 3 10  3]
  [ 3 10  3]
  [ 2  9  2]
  ...
  [14 15  9]
  [12 13  7]
  [11 12  6]]

 [[ 4 11  4]
  [ 3 10  3]
  [ 3 10  3]
  ...
  [14 15  9]
  [12 13  7]
  [10 11  5]]

 [[ 5 12  5]
  [ 5 12  5]
  [ 4 11  4]
  ...
  [12 15  8]
  [10 13  6]
  [ 9 12  5]]

 ...

 [[13 15 10]
  [12 14  9]
  [ 8 13  7]
  ...
  [ 4  3  1]
  [ 4  3  1]
  [ 4  3  1]]

 [[12 14  9]
  [11 13  8]
  [ 8 13  7]
  ...
  [ 4  3  1]
  [ 4  3  1]
  [ 4  3  1]]

 [[12 14  9]
  [11 13  8]
  [ 7 12  6]
  ...
  [ 4  3  1]
  [ 4  3  1]
  [ 4  3  1]]]",205, SA(s)c                                                                                               ,espiral,0,,espiral no barrada,0
11,"[[[ 7  3  4]
  [ 7  3  4]
  [ 7  3  4]
  ...
  [15  7  5]
  [15  7  4]
  [15  7  4]]

 [[ 7  3  4]
  [ 7  3  4]
  [ 7  3  4]
  ...
  [15  7  5]
  [15  7  4]
  [15  7  4]]

 [[ 7  3  4]
  [ 7  3  4]
  [ 7  3  4]
  ...
  [15  7  5]
  [15  7  4]
  [15  7  4]]

 ...

 [[ 2  0  1]
  [ 2  0  1]
  [ 2  0  1]
  ...
  [ 8  9  4]
  [ 8  9  4]
  [ 8  9  4]]

 [[ 2  0  1]
  [ 2  0  1]
  [ 2  0  1]
  ...
  [ 8  9  4]
  [ 8  9  4]
  [ 8  9  4]]

 [[ 2  0  1]
  [ 2  0  1]
  [ 2  0  1]
  ...
  [ 8  9  4]
  [ 8  9  4]
  [ 8  9  4]]]",14, E2                                                                                                   ,elíptica,1,,elíptica,6
118,"[[[15  0  5]
  [15  0  5]
  [12  0  4]
  ...
  [ 4  9  3]
  [ 4 11  3]
  [ 4 11  3]]

 [[15  0  5]
  [15  0  5]
  [12  0  4]
  ...
  [ 4  9  3]
  [ 4 11  3]
  [ 4 11  3]]

 [[13  1  5]
  [13  1  5]
  [13  1  5]
  ...
  [ 4  9  3]
  [ 4 11  3]
  [ 4 11  3]]

 ...

 [[ 8  7  5]
  [ 8  7  5]
  [ 7  6  4]
  ...
  [10  6  3]
  [10  6  3]
  [10  6  3]]

 [[ 7  6  4]
  [ 6  5  3]
  [ 6  5  3]
  ...
  [10  5  2]
  [10  5  2]
  [10  5  2]]

 [[ 6  5  3]
  [ 5  4  2]
  [ 5  4  2]
  ...
  [ 9  4  1]
  [10  5  2]
  [10  5  2]]]",207, SB(s)cd                                                                                              ,espiral,0,,espiral barrada,1
119,"[[[13 10  5]
  [14 11  6]
  [15 11  8]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[13 10  5]
  [14 11  6]
  [15 11  8]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[14  9  5]
  [14  9  5]
  [15 10  7]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 ...

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 4  2  3]
  [ 5  3  4]
  [ 5  3  4]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 4  2  3]
  [ 5  3  4]
  [ 5  3  4]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 4  2  3]
  [ 5  3  4]
  [ 5  3  4]]]",208, SAB:(s)cd sp                                                                                         ,espiral,0,,espiral barrada intermedia,2
120,"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [24 23  5]
  [23 21  6]
  [23 21  6]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [25 24  6]
  [24 22  7]
  [23 21  6]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [26 25  7]
  [25 23  8]
  [25 23  8]]

 ...

 [[ 3  5  4]
  [ 3  5  4]
  [ 3  5  4]
  ...
  [ 1  0  2]
  [ 1  0  2]
  [ 1  0  2]]

 [[ 3  5  4]
  [ 3  5  4]
  [ 3  5  4]
  ...
  [ 1  0  2]
  [ 1  0  2]
  [ 1  0  2]]

 [[ 3  5  4]
  [ 3  5  4]
  [ 3  5  4]
  ...
  [ 1  0  2]
  [ 1  0  2]
  [ 1  0  2]]]",210, SA(rs)b pec                                                                                          ,espiral,0,,espiral no barrada,0
122,"[[[ 8  6  7]
  [ 8  6  7]
  [ 8  6  7]
  ...
  [ 1  1  0]
  [ 1  1  0]
  [ 1  1  0]]

 [[ 9  7  8]
  [ 9  7  8]
  [ 9  7  8]
  ...
  [ 1  1  0]
  [ 1  1  0]
  [ 1  1  0]]

 [[10  8  9]
  [10  8  9]
  [10  8  9]
  ...
  [ 1  1  0]
  [ 1  1  0]
  [ 1  1  0]]

 ...

 [[ 1  1  1]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 1  0  0]
  [ 1  0  0]
  [ 1  0  0]]

 [[ 1  1  1]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 3  0  0]
  [ 3  0  0]
  [ 3  0  0]]

 [[ 1  1  1]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 3  0  0]
  [ 3  0  0]
  [ 3  0  0]]]",212, SA(s)dm (cc)                                                                                         ,espiral,0,,espiral no barrada,0
121,"[[[5 0 4]
  [5 0 4]
  [5 0 4]
  ...
  [5 5 5]
  [5 5 5]
  [4 4 4]]

 [[5 0 4]
  [5 0 4]
  [5 0 4]
  ...
  [5 5 5]
  [5 5 5]
  [4 4 4]]

 [[5 0 4]
  [5 0 4]
  [5 0 4]
  ...
  [5 5 5]
  [5 5 5]
  [4 4 4]]

 ...

 [[2 0 1]
  [2 0 1]
  [2 0 1]
  ...
  [2 1 0]
  [3 2 0]
  [3 2 0]]

 [[1 0 0]
  [1 0 0]
  [1 0 0]
  ...
  [2 1 0]
  [3 2 0]
  [3 2 0]]

 [[1 0 0]
  [1 0 0]
  [1 0 0]
  ...
  [2 1 0]
  [3 2 0]
  [3 2 0]]]",211, (R')SA(r)a                                                                                 ,espiral,0,,espiral no barrada,0
123,"[[[ 5  3  4]
  [ 5  3  4]
  [ 5  3  4]
  ...
  [ 2  2  4]
  [ 2  2  4]
  [ 2  2  4]]

 [[ 5  3  4]
  [ 5  3  4]
  [ 4  2  3]
  ...
  [ 2  2  4]
  [ 2  2  4]
  [ 2  2  4]]

 [[ 5  3  4]
  [ 4  2  3]
  [ 4  2  3]
  ...
  [ 2  2  4]
  [ 2  2  4]
  [ 2  2  4]]

 ...

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [51 33 19]
  [53 34 20]
  [53 34 20]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [48 30 18]
  [50 30 19]
  [50 30 19]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [45 27 15]
  [47 27 18]
  [47 27 18]]]",213," (RL)SAB(r,nb)0^+                                                                                   ",espiral,0,,espiral barrada intermedia,2
124,"[[[ 8  0  2]
  [ 8  0  2]
  [ 7  0  1]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[ 8  0  2]
  [ 8  0  2]
  [ 7  0  1]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[ 8  0  2]
  [ 8  0  2]
  [ 7  0  1]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 ...

 [[ 5 16  0]
  [ 6 17  0]
  [ 6 17  0]
  ...
  [ 5  4  2]
  [ 5  4  2]
  [ 5  4  2]]

 [[ 5 16  0]
  [ 5 16  0]
  [ 6 17  0]
  ...
  [ 5  4  2]
  [ 5  4  2]
  [ 5  4  2]]

 [[ 4 15  0]
  [ 5 16  0]
  [ 6 17  0]
  ...
  [ 5  4  2]
  [ 5  4  2]
  [ 5  4  2]]]",214, (R_2')S_AB(r)b                                                            ,espiral,0,,espiral barrada intermedia,2
126,"[[[ 3  4  0]
  [ 3  4  0]
  [ 3  4  0]
  ...
  [ 4  2  3]
  [ 3  1  2]
  [ 3  1  2]]

 [[ 3  4  0]
  [ 3  4  0]
  [ 3  4  0]
  ...
  [ 4  2  3]
  [ 3  1  2]
  [ 3  1  2]]

 [[ 3  4  0]
  [ 3  4  0]
  [ 3  4  0]
  ...
  [ 3  1  2]
  [ 3  1  2]
  [ 3  1  2]]

 ...

 [[ 5  3  4]
  [ 5  3  4]
  [ 7  3  4]
  ...
  [32  7 11]
  [33  6 11]
  [33  6 11]]

 [[ 5  3  4]
  [ 5  3  4]
  [ 7  3  4]
  ...
  [33  6 11]
  [33  6 11]
  [33  6 11]]

 [[ 5  3  4]
  [ 5  3  4]
  [ 7  3  4]
  ...
  [33  6 11]
  [33  6 11]
  [33  6 11]]]",217, SA(rs)bc                                                                                             ,espiral,0,,espiral no barrada,0
